trade_id,product_id,price,size,side,time,ingested_at
995584848,BTC-USD,68554.39,0.00000007,buy,2026-04-07T19:24:42.361277Z,2026-04-07T19:24:42.414021
331384132,SOL-USD,80.6,0.006,sell,2026-04-07T19:24:42.441201Z,2026-04-07T19:24:42.491857
995584849,BTC-USD,68554.4,0.0000001,sell,2026-04-07T19:24:42.491719Z,2026-04-07T19:24:42.554240
794942784,ETH-USD,2094.61,0.06995436,sell,2026-04-07T19:24:42.650654Z,2026-04-07T19:24:42.701859
995584850,BTC-USD,68554.39,0.00000004,buy,2026-04-07T19:24:42.803385Z,2026-04-07T19:24:42.857280
995584851,BTC-USD,68554.4,0.00276744,sell,2026-04-07T19:24:42.803724Z,2026-04-07T19:24:42.866003
995584852,BTC-USD,68554.4,0.00028349,sell,2026-04-07T19:24:43.157203Z,2026-04-07T19:24:43.210611
995584853,BTC-USD,68554.4,0.00095362,sell,2026-04-07T19:24:43.270103Z,2026-04-07T19:24:43.322032
995584854,BTC-USD,68554.39,0.00000004,buy,2026-04-07T19:24:43.273987Z,2026-04-07T19:24:43.326971
995584855,BTC-USD,68554.39,0.00000006,buy,2026-04-07T19:24:43.683578Z,2026-04-07T19:24:43.734285
995584856,BTC-USD,68554.4,0.00069184,sell,2026-04-07T19:24:43.927651Z,2026-04-07T19:24:43.979949
995584857,BTC-USD,68554.4,0.00553413,sell,2026-04-07T19:24:44.185204Z,2026-04-07T19:24:44.237525
995584858,BTC-USD,68554.39,0.00000008,buy,2026-04-07T19:24:44.208772Z,2026-04-07T19:24:44.262268
995584859,BTC-USD,68554.4,0.0000001,sell,2026-04-07T19:24:44.215321Z,2026-04-07T19:24:44.268046
995584860,BTC-USD,68554.39,0.00000008,buy,2026-04-07T19:24:44.620517Z,2026-04-07T19:24:44.677334
794942785,ETH-USD,2094.57,0.56442324,sell,2026-04-07T19:24:44.753047Z,2026-04-07T19:24:44.812326
794942786,ETH-USD,2094.57,0.15178086,sell,2026-04-07T19:24:44.753152Z,2026-04-07T19:24:44.816064
794942787,ETH-USD,2094.58,0.71613664,sell,2026-04-07T19:24:44.753152Z,2026-04-07T19:24:44.820154
995584861,BTC-USD,68554.4,0.00021343,sell,2026-04-07T19:24:44.795678Z,2026-04-07T19:24:44.849903
995584862,BTC-USD,68554.41,0.00000023,sell,2026-04-07T19:24:44.795678Z,2026-04-07T19:24:44.854303
995584863,BTC-USD,68554.41,0.00025439,sell,2026-04-07T19:24:44.795678Z,2026-04-07T19:24:44.863063
995584864,BTC-USD,68554.5,0.00032263,sell,2026-04-07T19:24:44.795678Z,2026-04-07T19:24:44.867210
995584865,BTC-USD,68554.5,0.00002829,sell,2026-04-07T19:24:44.795678Z,2026-04-07T19:24:44.873917
794942788,ETH-USD,2094.72,0.17125839,buy,2026-04-07T19:24:44.814357Z,2026-04-07T19:24:44.881963
995584866,BTC-USD,68555.42,0.000382,sell,2026-04-07T19:24:45.044658Z,2026-04-07T19:24:45.097979
995584867,BTC-USD,68555.41,0.00238162,buy,2026-04-07T19:24:45.051609Z,2026-04-07T19:24:45.104275
995584868,BTC-USD,68555.41,0.00000005,buy,2026-04-07T19:24:45.111048Z,2026-04-07T19:24:45.165222
331384133,SOL-USD,80.6,0.85977017,sell,2026-04-07T19:24:45.244332Z,2026-04-07T19:24:45.296075
331384134,SOL-USD,80.6,0.01433494,sell,2026-04-07T19:24:45.244332Z,2026-04-07T19:24:45.301159
331384135,SOL-USD,80.6,0.36021889,sell,2026-04-07T19:24:45.244332Z,2026-04-07T19:24:45.305850
331384136,SOL-USD,80.6,0.00000084,sell,2026-04-07T19:24:45.246914Z,2026-04-07T19:24:45.310754
995584869,BTC-USD,68555.42,0.00027637,sell,2026-04-07T19:24:45.265591Z,2026-04-07T19:24:45.336578
794942789,ETH-USD,2094.8,0.001,sell,2026-04-07T19:24:45.310605Z,2026-04-07T19:24:45.364917
794942790,ETH-USD,2094.84,0.71604536,sell,2026-04-07T19:24:45.310605Z,2026-04-07T19:24:45.366555
794942791,ETH-USD,2094.88,0.001,sell,2026-04-07T19:24:45.319529Z,2026-04-07T19:24:45.372072
794942792,ETH-USD,2094.96,0.001,sell,2026-04-07T19:24:45.319529Z,2026-04-07T19:24:45.379127
794942793,ETH-USD,2095.04,0.001,sell,2026-04-07T19:24:45.319529Z,2026-04-07T19:24:45.382577
794942794,ETH-USD,2095.1,0.99749761,sell,2026-04-07T19:24:45.319529Z,2026-04-07T19:24:45.386238
331384137,SOL-USD,80.61,0.00012721,sell,2026-04-07T19:24:45.322453Z,2026-04-07T19:24:45.390654
331384138,SOL-USD,80.61,0.014,sell,2026-04-07T19:24:45.322453Z,2026-04-07T19:24:45.392416
794942795,ETH-USD,2094.99,0.71599387,sell,2026-04-07T19:24:45.330214Z,2026-04-07T19:24:45.396934
794942796,ETH-USD,2095,0.21552654,sell,2026-04-07T19:24:45.330214Z,2026-04-07T19:24:45.404326
794942797,ETH-USD,2095.01,0.06897720,sell,2026-04-07T19:24:45.330214Z,2026-04-07T19:24:45.408084
