product_id,price,open_24h,volume_24h,low_24h,high_24h,best_bid,best_ask,time,ingested_at
SOL-USD,80.6,81.92,1495144.49929062,78.36,82.16,80.59,80.6,2026-04-07 19:24:41.809504+00:00,2026-04-07T19:24:42.108507
ETH-USD,2094.61,2144.29,192304.49814208,2059.82,2155.73,2094.6,2094.61,2026-04-07 19:24:42.038505+00:00,2026-04-07T19:24:42.225030
BTC-USD,68554.39,69727.98,7965.08466406,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:41.942076+00:00,2026-04-07T19:24:42.230112
BTC-USD,68554.39,69727.98,7965.08466413,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:42.361277+00:00,2026-04-07T19:24:42.421475
SOL-USD,80.6,81.92,1495144.50529062,78.36,82.16,80.59,80.6,2026-04-07 19:24:42.441201+00:00,2026-04-07T19:24:42.494749
BTC-USD,68554.4,69727.98,7965.08466423,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:42.491719+00:00,2026-04-07T19:24:42.557020
ETH-USD,2094.61,2144.29,192304.56809644,2059.82,2155.73,2094.6,2094.61,2026-04-07 19:24:42.650654+00:00,2026-04-07T19:24:42.704652
BTC-USD,68554.39,69727.98,7965.08466427,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:42.803385+00:00,2026-04-07T19:24:42.860044
BTC-USD,68554.4,69727.98,7965.08743171,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:42.803724+00:00,2026-04-07T19:24:42.861896
BTC-USD,68554.4,69727.98,7965.0877152,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:43.157203+00:00,2026-04-07T19:24:43.214802
BTC-USD,68554.4,69727.98,7965.08866882,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:43.270103+00:00,2026-04-07T19:24:43.324809
BTC-USD,68554.39,69727.98,7965.08866886,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:43.273987+00:00,2026-04-07T19:24:43.329002
BTC-USD,68554.39,69727.98,7965.08866892,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:43.683578+00:00,2026-04-07T19:24:43.737225
BTC-USD,68554.4,69727.98,7965.08936076,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:43.927651+00:00,2026-04-07T19:24:43.982740
BTC-USD,68554.4,69727.98,7965.09489489,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:44.185204+00:00,2026-04-07T19:24:44.240314
BTC-USD,68554.39,69727.98,7965.09489497,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:44.208772+00:00,2026-04-07T19:24:44.264809
BTC-USD,68554.4,69727.98,7965.09489507,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:44.215321+00:00,2026-04-07T19:24:44.270062
BTC-USD,68554.39,69727.98,7965.09489515,67710.01,69997.76,68554.39,68554.4,2026-04-07 19:24:44.620517+00:00,2026-04-07T19:24:44.673826
ETH-USD,2094.57,2144.29,192305.13251968,2059.82,2155.73,2094.56,2094.57,2026-04-07 19:24:44.753047+00:00,2026-04-07T19:24:44.809969
ETH-USD,2094.57,2144.29,192305.28430054,2059.82,2155.73,2094.56,2094.58,2026-04-07 19:24:44.753152+00:00,2026-04-07T19:24:44.814385
ETH-USD,2094.58,2144.29,192306.00043718,2059.82,2155.73,2094.56,2094.73,2026-04-07 19:24:44.753152+00:00,2026-04-07T19:24:44.818527
BTC-USD,68554.4,69727.98,7965.09510858,67710.01,69997.76,68554.39,68554.41,2026-04-07 19:24:44.795678+00:00,2026-04-07T19:24:44.851974
BTC-USD,68554.41,69727.98,7965.09510881,67710.01,69997.76,68554.39,68554.41,2026-04-07 19:24:44.795678+00:00,2026-04-07T19:24:44.856829
BTC-USD,68554.41,69727.98,7965.0953632,67710.01,69997.76,68554.39,68554.5,2026-04-07 19:24:44.795678+00:00,2026-04-07T19:24:44.861026
BTC-USD,68554.5,69727.98,7965.09568583,67710.01,69997.76,68554.39,68554.5,2026-04-07 19:24:44.795678+00:00,2026-04-07T19:24:44.869295
BTC-USD,68554.5,69727.98,7965.09571412,67710.01,69997.76,68554.39,68554.5,2026-04-07 19:24:44.795678+00:00,2026-04-07T19:24:44.875806
ETH-USD,2094.72,2144.29,192306.17169557,2059.82,2155.73,2094.72,2094.73,2026-04-07 19:24:44.814357+00:00,2026-04-07T19:24:44.878729
BTC-USD,68555.42,69727.98,7965.09609612,67710.01,69997.76,68555.41,68555.42,2026-04-07 19:24:45.044658+00:00,2026-04-07T19:24:45.100891
BTC-USD,68555.41,69727.98,7965.09847774,67710.01,69997.76,68555.41,68555.42,2026-04-07 19:24:45.051609+00:00,2026-04-07T19:24:45.106349
BTC-USD,68555.41,69727.98,7965.09847779,67710.01,69997.76,68555.41,68555.42,2026-04-07 19:24:45.111048+00:00,2026-04-07T19:24:45.167375
SOL-USD,80.6,81.92,1495145.36506079,78.36,82.16,80.59,80.6,2026-04-07 19:24:45.244332+00:00,2026-04-07T19:24:45.298809
